Variable1,Variable2,Correlation,P-Value
DERS_Problems with Goal-Oriented Behavior,DERS_Limited Access to Emotion Regulation Strategies,0.7588760668153687,7.929231907451949e-19
DERS_Problems with Goal-Oriented Behavior,DERS_Lack of Emotional Clarity,0.49681862740957233,3.520921094282987e-07
DERS_Problems with Goal-Oriented Behavior,CERQ_Rumination Norm,0.4540985826474265,4.285537114477291e-06
DERS_Problems with Goal-Oriented Behavior,CERQ_Positive Reappraisal Norm,-0.5723508282583517,1.6729600942551796e-09
DERS_Problems with Goal-Oriented Behavior,CERQ_Catastrophizing Norm,0.49077423009968685,5.120133491635128e-07
DERS_Problems with Goal-Oriented Behavior,CERQ_Rumination,0.45409835486079025,4.2855904538524956e-06
DERS_Problems with Goal-Oriented Behavior,CERQ_Positive Reappraisal,-0.5723508282583513,1.6729600942552003e-09
DERS_Problems with Goal-Oriented Behavior,CERQ_Catastrophizing,0.4907746548893057,5.120000040079425e-07
DERS_Impulse Control Problems,DERS_Limited Access to Emotion Regulation Strategies,0.7001632553840506,4.057492233402764e-15
DERS_Impulse Control Problems,CERQ_Rumination Norm,0.47488562582335586,1.3249190432709412e-06
DERS_Impulse Control Problems,CERQ_Positive Refocusing Norm,-0.46015483447387306,3.0683800275717534e-06
DERS_Impulse Control Problems,CERQ_Positive Reappraisal Norm,-0.5484073880443292,1.0536060690373368e-08
DERS_Impulse Control Problems,CERQ_Putting into Perspective Norm,-0.43804496007476534,1.0080231654424862e-05
DERS_Impulse Control Problems,CERQ_Catastrophizing Norm,0.5114773125646285,1.3772523761098772e-07
DERS_Impulse Control Problems,CERQ_Rumination,0.47488703012382455,1.3248104886550095e-06
DERS_Impulse Control Problems,CERQ_Positive Refocusing,-0.4601537018858836,3.068573582595204e-06
DERS_Impulse Control Problems,CERQ_Positive Reappraisal,-0.548407388044329,1.0536060690373425e-08
DERS_Impulse Control Problems,CERQ_Putting into Perspective,-0.43804544377479543,1.0079978400367476e-05
DERS_Impulse Control Problems,CERQ_Catastrophizing,0.5114735824636687,1.3775891292063157e-07
DERS_Lack of Emotional Awareness,DERS_Lack of Emotional Clarity,0.5763079657533396,1.2166494365002265e-09
DERS_Lack of Emotional Awareness,CERQ_Refocusing on Planning Norm,-0.5055594675903332,2.0224653782598948e-07
DERS_Lack of Emotional Awareness,CERQ_Positive Reappraisal Norm,-0.44395227997039194,7.395434588647466e-06
DERS_Lack of Emotional Awareness,CERQ_Refocusing on Planning,-0.5055576408951572,2.0227029984075055e-07
DERS_Lack of Emotional Awareness,CERQ_Positive Reappraisal,-0.44395227997039144,7.395434588647466e-06
DERS_Limited Access to Emotion Regulation Strategies,DERS_Lack of Emotional Clarity,0.6439197628975496,2.5435803266270075e-12
DERS_Limited Access to Emotion Regulation Strategies,CERQ_Self-Blame Norm,0.454833631524696,4.116635110912463e-06
DERS_Limited Access to Emotion Regulation Strategies,CERQ_Rumination Norm,0.5155950471148116,1.0496048347814197e-07
DERS_Limited Access to Emotion Regulation Strategies,CERQ_Positive Refocusing Norm,-0.5384737514967771,2.1687492384465686e-08
DERS_Limited Access to Emotion Regulation Strategies,CERQ_Refocusing on Planning Norm,-0.5177785985890725,9.074535302463743e-08
DERS_Limited Access to Emotion Regulation Strategies,CERQ_Positive Reappraisal Norm,-0.6852114056289201,2.587865046883744e-14
DERS_Limited Access to Emotion Regulation Strategies,CERQ_Putting into Perspective Norm,-0.5188234816743807,8.461042302197775e-08
DERS_Limited Access to Emotion Regulation Strategies,CERQ_Catastrophizing Norm,0.6450254164588357,2.2700722510122044e-12
DERS_Limited Access to Emotion Regulation Strategies,CERQ_Self-Blame,0.4548336315246954,4.116635110912463e-06
DERS_Limited Access to Emotion Regulation Strategies,CERQ_Rumination,0.5155973576443382,1.0494437841180979e-07
DERS_Limited Access to Emotion Regulation Strategies,CERQ_Positive Refocusing,-0.5384711325745696,2.1691554082374308e-08
DERS_Limited Access to Emotion Regulation Strategies,CERQ_Refocusing on Planning,-0.5177761250856361,9.076036615719313e-08
DERS_Limited Access to Emotion Regulation Strategies,CERQ_Positive Reappraisal,-0.6852114056289192,2.5878650468837005e-14
DERS_Limited Access to Emotion Regulation Strategies,CERQ_Putting into Perspective,-0.5188218440544169,8.461972161987404e-08
DERS_Limited Access to Emotion Regulation Strategies,CERQ_Catastrophizing,0.6450253637936885,2.2700845770208945e-12
DERS_Lack of Emotional Clarity,CERQ_Refocusing on Planning Norm,-0.4856937072942592,6.975569483781114e-07
DERS_Lack of Emotional Clarity,CERQ_Positive Reappraisal Norm,-0.4896936824381496,5.470486676614048e-07
DERS_Lack of Emotional Clarity,CERQ_Putting into Perspective Norm,-0.4721323641288084,1.554723623185363e-06
DERS_Lack of Emotional Clarity,CERQ_Refocusing on Planning,-0.4856920742664791,6.976257293326444e-07
DERS_Lack of Emotional Clarity,CERQ_Positive Reappraisal,-0.48969368243814926,5.470486676614048e-07
DERS_Lack of Emotional Clarity,CERQ_Putting into Perspective,-0.4721311471052809,1.5548330698697935e-06
CERQ_Self-Blame Norm,CERQ_Self-Blame,1.0000000000000002,0.0
CERQ_Acceptance Norm,CERQ_Acceptance,0.9999999995905381,0.0
CERQ_Rumination Norm,CERQ_Rumination,0.999999999693628,0.0
CERQ_Positive Refocusing Norm,CERQ_Refocusing on Planning Norm,0.4761233595891739,1.232435461496496e-06
CERQ_Positive Refocusing Norm,CERQ_Positive Reappraisal Norm,0.4864124580378311,6.678999276258862e-07
CERQ_Positive Refocusing Norm,CERQ_Putting into Perspective Norm,0.5464551644552196,1.216469688541147e-08
CERQ_Positive Refocusing Norm,CERQ_Positive Refocusing,0.9999999997584234,0.0
CERQ_Positive Refocusing Norm,CERQ_Refocusing on Planning,0.47612453687425904,1.2323504755277556e-06
CERQ_Positive Refocusing Norm,CERQ_Positive Reappraisal,0.4864124580378309,6.678999276258927e-07
CERQ_Positive Refocusing Norm,CERQ_Putting into Perspective,0.5464534348524018,1.2166241132314375e-08
CERQ_Refocusing on Planning Norm,CERQ_Positive Reappraisal Norm,0.6493080638364442,1.4546415253444836e-12
CERQ_Refocusing on Planning Norm,CERQ_Positive Refocusing,0.4761213349515695,1.2325816291968056e-06
CERQ_Refocusing on Planning Norm,CERQ_Refocusing on Planning,0.9999999998250715,0.0
CERQ_Refocusing on Planning Norm,CERQ_Positive Reappraisal,0.6493080638364439,1.454641525344443e-12
CERQ_Positive Reappraisal Norm,CERQ_Putting into Perspective Norm,0.5138206518703817,1.1804822991694976e-07
CERQ_Positive Reappraisal Norm,CERQ_Catastrophizing Norm,-0.5084961797344689,1.6728927847367225e-07
CERQ_Positive Reappraisal Norm,CERQ_Positive Refocusing,0.48640962198776994,6.680145646308006e-07
CERQ_Positive Reappraisal Norm,CERQ_Refocusing on Planning,0.6493084757270818,1.4545787676427886e-12
CERQ_Positive Reappraisal Norm,CERQ_Positive Reappraisal,1.0000000000000004,0.0
CERQ_Positive Reappraisal Norm,CERQ_Putting into Perspective,0.5138199755961236,1.1805350194732993e-07
CERQ_Positive Reappraisal Norm,CERQ_Catastrophizing,-0.508497470779107,1.6727525750999872e-07
CERQ_Putting into Perspective Norm,CERQ_Catastrophizing Norm,-0.4793474747805751,1.0193569212991977e-06
CERQ_Putting into Perspective Norm,CERQ_Positive Refocusing,0.5464534858905737,1.2166195561055624e-08
CERQ_Putting into Perspective Norm,CERQ_Positive Reappraisal,0.5138206518703812,1.1804822991694923e-07
CERQ_Putting into Perspective Norm,CERQ_Putting into Perspective,0.9999999997332311,0.0
CERQ_Putting into Perspective Norm,CERQ_Catastrophizing,-0.4793446722445894,1.0195259875637475e-06
CERQ_Catastrophizing Norm,CERQ_Other-Blame Norm,0.478146024075986,1.0943208995249283e-06
CERQ_Catastrophizing Norm,CERQ_Positive Reappraisal,-0.508496179734469,1.6728927847366872e-07
CERQ_Catastrophizing Norm,CERQ_Putting into Perspective,-0.4793475278151572,1.0193537221817671e-06
CERQ_Catastrophizing Norm,CERQ_Catastrophizing,0.9999999997403015,0.0
CERQ_Catastrophizing Norm,CERQ_Other-Blame,0.4781478094099168,1.0942057302028827e-06
CERQ_Other-Blame Norm,CERQ_Catastrophizing,0.47814575144263183,1.0943384877197836e-06
CERQ_Other-Blame Norm,CERQ_Other-Blame,0.9999999998684977,0.0
CERQ_Positive Refocusing,CERQ_Refocusing on Planning,0.4761225123232293,1.2324966274427507e-06
CERQ_Positive Refocusing,CERQ_Positive Reappraisal,0.4864096219877696,6.680145646308006e-07
CERQ_Positive Refocusing,CERQ_Putting into Perspective,0.5464517563286164,1.2167739953238443e-08
CERQ_Refocusing on Planning,CERQ_Positive Reappraisal,0.6493084757270815,1.4545787676427759e-12
CERQ_Positive Reappraisal,CERQ_Putting into Perspective,0.5138199755961232,1.1805350194732993e-07
CERQ_Positive Reappraisal,CERQ_Catastrophizing,-0.5084974707791065,1.6727525751000044e-07
CERQ_Putting into Perspective,CERQ_Catastrophizing,-0.4793447252639165,1.0195227888644575e-06
CERQ_Catastrophizing,CERQ_Other-Blame,0.47814753675570015,1.0942233179918235e-06
